gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
NMB	20	207	20	34	15	277
NMBR	0	0	1	0	0	0
NMD3	1028	1161	1026	1686	1158	2177
NME1	241	888	298	1335	236	1589
NME1-NME2	0	0	0	0	0	0
NME2	41	65	20	119	23	87
NME3	274	543	187	300	211	331
NME4	585	3984	629	1196	940	1214
NME5	35	1	6	19	11	26
NME6	191	426	170	453	187	321
NME7	134	206	74	396	137	489
NME8	9	1	2	2	1	4
NME9	23	9	6	11	4	6
NMI	357	867	342	482	764	893
NMNAT1	231	395	261	59	164	447
NMNAT2	10	5	7	10	3	8
NMNAT3	46	155	45	155	44	141
NMRAL1	0	0	0	0	0	0
NMRAL1_1	0	0	0	0	0	0
NMRAL2P	5	1719	2	10	0	93
NMRK1	793	502	989	563	700	970
NMRK2	1	1	1	1	0	0
NMS	0	1	0	0	0	0
NMT1	1563	2959	1590	2605	2122	2472
NMT2	691	712	520	525	555	1839
NMU	1	0	0	0	0	2
NMUR1	27	7	20	3	14	1
NMUR2	0	0	0	0	0	0
NNAT	5	13	4	21	6	3
NNMT	8455	2608	6094	1150	17162	3119
NNT	4556	5284	4386	6471	4422	3272
NNT-AS1	204	407	169	474	115	269
NOA1	254	271	207	284	205	418
NOB1	320	265	338	221	287	621
NOBOX	0	0	0	0	0	0
NOBOX_1	0	0	0	0	0	0
NOC2L	315	1100	318	373	352	1251
NOC2LP2	25	55	23	18	20	45
NOC3L	273	355	226	498	222	458
NOC4L	0	0	0	0	0	0
NOC4L_1	0	0	0	0	0	0
NOCT	364	141	70	72	116	992
NOD1	103	130	73	117	123	200
NOD2	38	94	18	73	34	224
NODAL	1	5	1	0	1	1
NOG	4	1	0	0	2	0
NOL10	342	928	269	651	335	664
NOL11	551	2212	539	1313	526	1577
NOL12	76	159	76	301	88	180
NOL3	175	352	60	101	105	392
NOL4	15	226	52	0	34	2
NOL4L	276	214	119	73	162	243
NOL4L-DT	0	0	0	0	0	0
NOL6	250	995	327	965	411	1713
NOL7	502	1385	539	2684	526	1542
NOL8	450	968	324	1205	305	1040
NOL9	270	523	266	307	182	587
NOLC1	743	1674	760	2064	694	1569
NOM1	247	562	280	553	265	933
NOMO1	0	0	0	0	0	0
NOMO1_1	0	2	0	1	0	1
NOMO2	36	173	52	221	55	137
NOMO3	0	0	1	0	0	0
NOMO3_1	0	0	0	0	0	0
NONO	2076	5803	2000	5811	1323	4868
NOP10	659	1722	643	1052	839	2366
NOP14	490	751	517	1171	535	868
NOP14-AS1	57	51	51	118	49	60
NOP16	216	620	181	367	170	512
NOP2	225	1185	254	833	215	1068
NOP53	1579	1362	1631	1987	1017	614
NOP53-AS1	3	0	1	2	1	1
NOP56	477	1800	466	1830	464	2393
NOP58	812	3186	673	2143	596	3508
NOP9	0	0	0	0	0	0
NOP9_1	0	0	0	0	0	0
NORAD	3895	3256	3178	3943	2658	2487
NOS1	14	0	14	0	2	1
NOS1AP	52	150	50	187	143	109
NOS2	6	47	3	20	1	37
NOS2P3	0	0	0	0	0	0
NOS3	148	88	104	25	121	126
NOSIP	311	561	283	370	314	531
NOSTRIN	38	21	32	9	42	13
NOSTRIN_1	8	1	2	1	7	1
NOTCH1	450	631	418	513	309	1422
NOTCH2	1776	5128	1779	2267	1587	6703
NOTCH2NLA	12	18	10	29	5	36
NOTCH2NLB	14	22	19	19	14	42
NOTCH2NLC	18	17	5	25	9	16
NOTCH2NLR	6	9	0	0	11	13
NOTCH3	361	353	123	273	50	450
NOTCH4	0	0	0	0	0	0
NOTCH4_1	0	0	0	0	0	0
NOTCH4_2	1	0	0	0	0	0
NOTCH4_3	0	1	1	0	0	0
NOTCH4_4	0	0	0	0	0	0
NOTCH4_5	0	0	0	0	0	0
NOTCH4_6	0	0	0	0	0	0
NOTO	0	2	0	0	0	0
NOTUM	212	16	297	84	156	1
NOVA1	54	11	9	9	9	2
NOVA2	73	55	32	21	39	41
NOX1	0	10	1	0	0	1
NOX3	0	0	0	0	0	0
NOX4	13	42	3	4	1	54
NOX5	1	1	1	0	4	0
NOXA1	88	115	107	269	76	114
NOXO1	0	25	1	4	0	14
NOXRED1	8	11	9	6	4	6
NPAP1	1	0	1	0	0	0
NPAS1	8	22	6	7	0	13
NPAS2	173	1215	74	469	67	920
NPAS2-AS1	0	0	0	0	0	0
NPAS3	12	4	16	0	3	130
NPAS4	4	0	0	1	0	2
NPAT	313	602	259	588	251	417
NPB	0	0	0	0	0	0
NPBWR1	444	12	104	115	212	0
NPBWR2	0	0	0	0	0	0
NPBWR2_1	0	0	0	0	0	0
NPC1	339	1861	320	1268	290	1207
NPC1L1	548	18	818	1243	725	5
NPC2	1374	1883	972	1433	1423	6360
NPDC1	232	235	157	43	155	100
NPEPL1	5	17	6	5	8	21
NPEPPS	523	2027	435	908	373	1733
NPEPPSP1	0	0	0	0	0	0
NPEPPSP1_1	1	0	0	0	0	0
NPFF	5	1	2	0	1	2
NPFFR1	2	0	2	0	0	2
NPFFR2	1	1	1	0	0	1
NPHP1	43	23	13	7	12	57
NPHP3	68	83	62	66	32	59
NPHP3-ACAD11	0	0	0	0	2	0
NPHP3-AS1	0	1	0	0	0	2
NPHP4	74	35	20	205	27	26
NPHS1	0	0	0	0	1	0
NPHS2	0	1	0	0	0	1
NPIPA1	0	0	0	0	0	0
NPIPA1_1	0	0	0	0	0	0
NPIPA2	0	0	0	0	0	0
NPIPA2_1	15	5	15	34	0	0
NPIPA3	0	0	0	0	0	0
NPIPA3_1	0	0	0	0	0	0
NPIPA5	0	0	0	0	0	0
NPIPA5_1	0	0	1	2	1	1
NPIPA7	0	0	0	0	0	0
NPIPA7_1	0	0	0	0	0	0
NPIPA8	0	0	0	0	0	0
NPIPB11	2	2	2	6	2	4
NPIPB12	0	1	0	0	0	0
NPIPB13	0	0	0	0	1	0
NPIPB13_1	0	0	0	0	0	1
NPIPB15	85	44	51	24	40	48
NPIPB2	5	36	7	5	8	8
NPIPB3	0	0	0	0	0	0
NPIPB3_1	6	17	1	14	0	5
NPIPB4	0	0	0	0	0	0
NPIPB5	0	0	0	0	0	0
NPIPB5_1	0	0	0	0	0	0
NPIPB6	0	0	1	0	0	0
NPIPB8	0	1	0	0	0	1
NPIPB9	0	0	0	0	0	0
NPL	431	453	358	1313	507	2811
NPLOC4	880	5198	863	2250	1088	4325
NPM1	996	4869	699	2632	587	2459
NPM2	30	22	12	276	17	5
NPM3	97	106	88	104	53	91
NPNT	533	106	147	105	99	140
NPPA	3	3	0	3	0	4
NPPA-AS1	5	10	1	5	2	6
NPPB	0	0	0	1	0	0
NPPC	1	0	1	0	2	0
NPR1	317	146	198	47	341	69
NPR2	215	591	264	485	159	55
NPR3	480	17	226	358	250	264
NPRL2	180	356	246	607	228	195
NPRL3	250	894	203	445	209	388
NPS	0	0	0	0	0	0
NPSR1	0	0	0	1	0	1
NPSR1-AS1	1	105	0	25	0	154
NPTN	1157	2312	798	1483	822	2460
NPTN-IT1	10	16	6	11	6	13
NPTX1	10	16	0	2	0	2
NPTX2	29	15	9	421	3	3
NPTXR	49	17	1884	85	1499	7
NPVF	0	0	0	0	0	0
NPW	815	115	295	5	54	7
NPY	0	0	0	0	0	0
NPY1R	369	10	403	3	281	751
NPY2R	0	1	1	0	0	0
NPY4R	5	0	1	0	0	0
NPY4R2	0	0	0	0	0	0
NPY4R2_1	0	0	0	0	0	0
NPY5R	39	2	9	0	5	265
NPY6R	21	14	324	0	45	1
NQO1	96	187	73	21	37	41
NQO2	738	1617	327	469	667	1430
NQO2-AS1	2	2	1	1	1	0
NR0B1	0	57	0	0	0	94
NR0B2	376	321	2008	2002	2250	378
NR1D1	101	460	93	270	595	382
NR1D2	927	1088	814	1119	1244	921
NR1H2	613	1145	508	843	664	885
NR1H3	747	673	886	788	1148	634
NR1H4	1751	1537	2163	1763	2278	2106
NR1I2	1024	1575	1443	93	1869	57
NR1I3	915	623	933	157	1309	12
NR2C1	476	842	416	405	351	745
NR2C2	184	279	122	235	117	209
NR2C2AP	75	355	66	292	80	309
NR2E1	1	0	0	0	0	2
NR2E3	4	4	1	9	1	1
NR2F1	594	38	361	536	293	555
NR2F1-AS1	66	7	52	64	41	169
NR2F2	1753	802	1694	1006	978	844
NR2F2-AS1	21	7	16	1	9	2
NR2F6	951	2491	1476	1750	1351	1608
NR3C1	2051	2596	1709	1165	1609	1634
NR3C2	398	616	424	277	298	114
NR4A1	1793	251	483	125	124	353
NR4A2	361	35	182	89	82	255
NR4A3	282	51	34	11	9	232
NR5A1	0	3	0	2	0	3
NR5A2	1161	1206	1011	3334	1035	1232
NR6A1	57	372	41	152	30	328
NRAD1	4	0	0	0	0	3
NRADDP	0	0	0	0	0	1
NRAP	51	39	79	73	76	48
NRARP	222	273	130	130	28	370
NRAS	792	4130	645	3207	653	4234
NRAV	52	116	31	125	36	133
NRBF2	349	371	260	371	460	410
NRBP1	882	3385	877	1211	1051	1888
NRBP2	1058	3288	836	536	1303	1136
NRCAM	72	1970	53	1396	12	2084
NRDC	1850	6592	1813	1984	2474	5542
NRDE2	440	352	392	271	408	308
NREP	242	517	561	650	185	258
NREP-AS1	0	0	0	0	0	0
NRF1	133	261	104	338	119	376
NRG1	316	285	21	0	11	1
NRG1-IT1	0	0	0	0	0	0
NRG1-IT3	0	0	0	0	0	0
NRG2	2	64	3	2	2	0
NRG3	28	3	17	3	8	1
NRG3-AS1	0	0	0	0	0	0
NRG4	41	262	39	100	15	130
NRGN	36	40	19	103	8	34
NRIP1	1177	2273	1405	1027	1553	2536
NRIP2	21	18	19	30	6	13
NRIP3	4	12	2	28	2	17
NRIR	2	2	2	0	36	10
NRK	10	0	10	1	14	1
NRL	0	0	0	0	0	0
NRL_1	0	0	0	0	0	0
NRM	0	0	0	0	0	0
NRM_1	0	0	0	0	0	0
NRM_2	0	0	0	0	0	0
NRM_3	0	0	0	0	0	0
NRM_4	0	0	0	0	0	0
NRM_5	0	0	0	0	0	0
NRM_6	0	0	0	0	0	0
NRN1	35	12	40	3	37	10
NRN1L	3	5	5	2	1	4
NRON	0	1	0	0	0	0
NRP1	1863	3410	1239	1070	1488	3471
NRP2	495	287	402	199	400	765
NRROS	58	59	72	65	117	96
NRSN1	3	0	0	0	0	0
NRSN2	130	596	46	552	50	39
NRSN2-AS1	17	50	8	11	10	36
NRTN	46	99	103	188	86	30
NRXN1	9	0	30	0	5	1
NRXN2	62	64	55	23	75	9
NRXN2-AS1	0	0	1	1	0	0
NRXN3	38	2	5	206	8	62
NSA2	961	1227	597	937	434	1016
NSD1	711	2619	699	1562	672	1182
NSD2	353	1282	349	2766	280	1055
NSD3	606	2016	465	1681	416	1614
NSDHL	296	629	341	677	558	632
NSF	0	0	1	0	0	1
NSFL1C	679	1599	714	1600	833	1371
NSFP1	0	0	0	0	0	0
NSFP1_1	0	0	0	0	0	0
NSF_1	0	0	0	0	0	0
NSF_2	0	0	0	0	0	0
NSG1	7	0	3	1	1	3
NSG2	4	5	0	0	1	0
NSL1	488	1003	481	2346	462	949
NSMAF	220	574	126	288	186	933
NSMCE1	390	383	466	627	549	416
NSMCE1-DT	3	3	1	0	4	1
NSMCE2	189	996	169	326	143	1047
NSMCE3	0	0	0	0	0	0
NSMCE3_1	0	0	0	0	0	0
NSMCE3_2	0	0	0	0	0	0
NSMCE4A	502	506	541	326	525	402
NSMF	369	443	428	968	348	1179
NSRP1	604	446	418	731	299	768
NSUN2	906	1874	933	1577	1012	1868
NSUN3	229	957	192	392	162	308
NSUN4	252	495	235	319	252	815
NSUN5	81	309	71	374	89	290
NSUN5P1	36	75	42	84	20	21
NSUN5P2	2	3	0	2	0	1
NSUN6	1233	398	822	798	539	598
NSUN7	52	7	11	54	8	6
NT5C	158	268	97	204	125	280
NT5C1A	1	0	0	0	0	0
NT5C1B	0	0	1	0	1	1
NT5C1B-RDH14	0	0	0	0	0	0
NT5C2	263	399	230	491	243	626
NT5C3A	240	1138	156	322	521	598
NT5C3B	418	1041	493	887	468	1185
NT5DC1	994	417	996	618	803	772
NT5DC2	105	468	24	711	38	63
NT5DC3	162	522	179	814	96	426
NT5DC4	0	19	1	49	2	35
NT5E	1270	878	2305	2531	1686	351
NT5M	16	87	15	51	24	23
NTAN1	0	0	0	0	0	0
NTAN1_1	0	0	0	0	0	0
NTAQ1	77	178	62	343	86	507
NTF3	56	1	50	0	28	1
NTF4	0	1	0	1	0	0
NTHL1	242	397	240	444	391	134
NTM	33	4	9	1	0	68
NTM-AS1	0	0	1	0	0	0
NTM-IT	0	0	0	0	0	0
NTMT1	114	281	104	273	142	324
NTN1	176	451	234	50	243	128
NTN3	8	24	0	25	5	6
NTN4	843	180	889	71	708	66
NTN5	1	3	2	2	1	3
NTNG1	0	1	0	1	0	0
NTNG2	4	4	1	1	5	37
NTPCR	319	839	298	2426	343	561
NTRK1	1	2	0	0	1	0
NTRK2	92	0	109	6	24	22
NTRK3	34	0	37	0	10	1
NTRK3-AS1	0	0	0	0	0	0
NTS	91	2	225	0	12	2
NTSR1	2	0	2	3	3	5
NTSR2	0	0	0	1	0	0
NUAK1	229	829	149	1122	269	813
NUAK2	136	73	61	254	45	387
NUB1	681	1364	615	1092	1104	1947
NUBP1	121	265	159	257	127	177
NUBP2	381	1159	398	694	391	370
NUBPL	266	282	295	196	230	85
NUCB1	4345	5659	3964	3080	8116	7386
NUCB1-AS1	3	1	0	0	1	2
NUCB2	982	2544	718	3727	1360	6496
NUCKS1	5747	6818	5566	33349	4130	13511
NUDC	944	1865	1108	2335	1017	2165
NUDCD1	186	773	154	444	182	1567
NUDCD2	586	969	601	711	451	380
NUDCD3	567	843	606	1374	818	1251
NUDT1	43	200	31	193	29	178
NUDT10	23	0	4	0	6	1
NUDT11	2	5	6	0	0	2
NUDT12	595	431	456	19	542	615
NUDT13	88	40	106	73	54	34
NUDT14	141	294	80	86	90	559
NUDT15	249	373	258	208	220	850
NUDT16	1195	1603	1350	1268	1733	1251
NUDT16L1	304	686	330	441	377	372
NUDT16L2P	171	311	223	122	251	155
NUDT17	10	67	9	49	9	29
NUDT18	47	50	37	49	57	56
NUDT19	226	667	185	335	127	964
NUDT2	190	374	203	433	150	340
NUDT21	940	1517	850	1160	659	2563
NUDT22	239	393	247	628	296	382
NUDT3	1241	1135	1060	4335	656	2353
NUDT4	434	661	323	359	206	436
NUDT4B	0	0	0	0	0	0
NUDT4P2	0	1	0	0	0	0
NUDT5	970	1996	1031	1899	1256	7210
NUDT6	44	36	69	33	68	23
NUDT7	596	215	508	211	708	325
NUDT8	115	237	118	95	106	55
NUDT9	674	599	666	260	610	8569
NUDT9P1	9	3	3	3	7	5
NUF2	28	844	6	1420	8	589
NUFIP1	70	86	59	76	44	208
NUFIP2	1615	3585	1221	4346	1083	3782
NUGGC	336	1550	549	469	711	37
NUMA1	1575	1968	1196	2103	1205	1500
NUMB	1068	1046	1136	777	1128	1604
NUMBL	60	180	43	94	46	255
NUP107	290	1493	298	1153	264	1303
NUP133	540	1537	435	2577	434	824
NUP153	774	2515	698	4600	701	1905
NUP155	332	1445	351	1896	260	1502
NUP160	11	55	11	24	4	25
NUP160_1	0	0	0	0	0	0
NUP188	285	1486	288	1105	265	1565
NUP205	363	2161	379	2263	460	3326
NUP210	383	2887	514	2012	522	1521
NUP210L	1	3	0	1	0	1
NUP210P1	0	0	0	0	0	0
NUP214	584	1746	565	1651	605	1461
NUP35	207	364	209	351	213	511
NUP37	145	622	142	387	159	727
NUP42	246	666	262	497	198	816
NUP43	288	1416	310	1043	187	1097
NUP50	643	866	575	1660	725	730
NUP50-DT	107	96	89	177	144	151
NUP54	456	592	458	702	411	1364
NUP58	410	649	342	710	307	1799
NUP62	309	986	306	1757	409	1459
NUP62CL	20	44	19	108	11	18
NUP85	368	1649	311	1047	297	894
NUP88	428	479	534	632	695	504
NUP93	158	356	158	341	201	1157
NUP98	1063	3189	984	1575	1096	2914
NUPR1	891	9245	1128	5307	1128	6449
NUPR2	2	1	0	0	0	0
NUS1	306	303	302	838	361	786
NUSAP1	182	2419	97	1669	82	1224
NUTF2	520	617	423	800	519	2183
NUTM1	0	0	0	1	0	0
NUTM2A	4	2	0	4	2	1
NUTM2A-AS1	40	41	38	54	28	47
NUTM2B	0	0	1	1	2	0
NUTM2B-AS1	52	69	37	89	28	45
NUTM2D	3	1	4	6	3	2
NUTM2E	0	5	3	7	4	3
NUTM2F	1	1	1	0	0	0
NUTM2G	1	1	1	1	0	0
NVL	158	535	118	1204	126	687
NWD1	0	3	0	1	1	1
NWD2	3	4	5	15	3	6
NXF1	855	990	583	1337	661	1259
NXF2	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0
NXF3	30	4	19	3	13	9
NXF4	0	0	0	0	0	0
NXF5	0	0	1	0	1	0
NXN	122	7	130	50	72	38
NXNL1	0	0	0	0	0	0
NXNL2	2	1	0	0	1	2
NXN_1	0	0	0	0	0	0
NXN_2	0	0	0	0	0	0
NXPE1	0	0	0	0	1	0
NXPE2	0	0	0	2	0	0
NXPE3	187	539	128	49	92	229
NXPE4	0	0	0	0	0	0
NXPH1	0	0	1	0	2	0
NXPH2	6	27	0	9	2	0
NXPH3	3	9	13	5	3	2
NXPH4	3	169	0	157	0	49
NXT1	89	271	68	274	70	376
NXT1-AS1	0	0	0	2	0	0
NXT2	197	371	187	393	179	386
NYAP1	6	32	3	12	5	10
NYAP2	0	0	0	0	2	112
NYNRIN	190	33	203	67	116	79
NYX	0	0	0	0	0	0
OACYLP	0	1	0	0	0	3
OAF	3313	2970	4159	1987	6321	3140
OARD1	588	430	579	847	522	582
OAS1	501	586	570	475	6458	1591
OAS2	581	578	442	264	10349	2998
OAS3	427	1992	332	1149	7505	3764
OASL	240	75	67	24	1882	272
OAT	4598	206	4755	63	2115	1179
OAZ1	3951	3958	3617	6475	4296	14167
OAZ2	1303	1392	1352	813	1265	1966
OAZ3	14	42	11	37	9	42
OBI1	98	152	73	408	45	223
OBI1-AS1	2	1	0	2	0	1
OBP2A	0	0	0	0	0	0
OBP2B	0	0	0	0	0	0
OBP2B_1	0	0	0	0	0	0
OBSCN	114	130	48	1528	9	69
OBSCN-AS1	2	7	3	1	1	0
OBSL1	887	1029	655	1173	682	994
OC90	0	0	0	0	0	0
OCA2	8	1	1	0	2	9
OCA2_1	0	0	0	0	0	0
OCA2_2	0	0	0	0	0	0
OCEL1	315	433	455	167	548	193
OCIAD1	2154	1321	2080	3756	2003	2662
OCIAD1-AS1	1	3	3	4	0	4
OCIAD2	1017	505	1190	1055	883	1153
OCLN	13	13	14	20	10	47
OCLNP1	0	0	1	0	0	0
OCLNP1_1	0	0	0	0	0	0
OCLN_1	0	0	0	0	0	0
OCM	1	0	0	0	1	0
OCM2	0	0	0	0	0	0
OCRL	371	1413	396	1189	387	1225
OCSTAMP	0	0	0	0	0	0
ODAM	4	8	0	0	1	574
ODAPH	2	0	2	0	0	0
ODC1	1115	3181	554	1451	832	1414
ODC1-DT	6	15	4	7	6	5
ODF1	0	0	0	0	0	0
ODF2	320	762	170	586	245	1061
ODF2L	160	387	67	369	85	76
ODF3	0	0	0	0	0	0
ODF3B	179	57	125	174	730	219
ODF3L1	8	35	1	2	0	0
ODF3L2	5	13	6	0	4	1
ODF4	0	0	0	0	0	0
ODR4	389	801	528	3057	616	1874
OFCC1	0	0	0	0	0	6
OFD1	377	492	221	507	228	369
OGA	2138	1719	1789	2087	1725	2439
OGDH	1469	4434	1372	2729	1570	2810
OGDHL	2770	707	3200	2501	3233	228
OGFOD1	310	541	292	405	313	1329
OGFOD2	139	297	171	230	198	135
OGFOD3	275	540	269	427	339	349
OGFR	617	1787	657	1012	1246	806
OGFR-AS1	7	4	0	1	7	1
OGFRL1	501	608	272	1059	247	2992
OGFRP1	2	6	4	6	1	0
OGG1	169	839	155	234	220	215
OGN	174	3	65	4	19	20
OGT	2332	2444	1504	3230	1256	3044
OIP5	23	278	22	102	18	148
OIP5-AS1	2833	2954	2388	3102	2003	2269
OIT3	1944	115	1185	113	1991	31
OLA1	576	2339	440	1308	452	3116
OLAH	2	2	1	1	0	1
OLFM1	147	13	70	4	125	12
OLFM2	753	493	267	231	432	104
OLFM3	0	77	0	0	0	4
OLFM4	0	2	0	0	0	233
OLFM5P	0	2	1	0	5	1
OLFML1	214	212	145	66	118	268
OLFML2A	64	49	52	133	11	101
OLFML2B	36	86	9	181	11	218
OLFML3	527	25	226	29	271	420
OLIG1	0	5	3	6	0	3
OLIG2	0	0	0	0	0	0
OLIG3	0	0	0	4	0	15
OLMALINC	72	74	92	261	32	247
OLR1	26	11	13	6	4	1006
OMA1	264	478	227	664	277	427
OMD	52	4	26	3	14	5
OMG	0	1	2	1	1	5
OMP	0	0	1	1	2	1
ONECUT1	469	1188	490	567	396	578
ONECUT2	1917	3210	1591	7004	1076	2675
ONECUT3	0	1	0	0	0	0
OOEP	0	0	1	0	1	3
OOSP1	0	0	0	0	0	0
OOSP1_1	0	0	0	0	0	0
OOSP2	0	0	0	0	0	0
OOSP2_1	0	0	0	0	0	0
OOSP3	0	0	0	0	0	1
OOSP4B	0	0	0	0	0	0
OOSP4B_1	0	0	0	0	0	0
OPA1	1385	2360	1330	1924	1328	2511
OPA1-AS1	1	1	0	0	1	2
OPA3	326	905	338	384	349	830
OPALIN	0	0	0	0	0	0
OPCML	10	1	5	1	0	1
OPHN1	47	46	27	38	19	50
OPLAH	556	1172	685	845	630	699
OPN1LW	0	0	0	0	0	0
OPN1MW	0	0	0	0	0	0
OPN1MW2	0	0	0	0	0	0
OPN1MW3	0	0	0	0	0	0
OPN1SW	0	0	0	1	0	0
OPN3	74	248	78	100	66	264
OPN4	0	1	0	1	0	0
OPN5	0	0	1	0	0	1
OPRD1	5	18	3	1	5	19
OPRK1	0	0	0	0	0	0
OPRL1	3	13	0	2	0	7
OPRL1_1	0	0	0	0	0	0
OPRM1	0	0	1	0	0	0
OPRPN	16	0	2	0	5	10
OPTC	0	1	0	1	0	0
OPTN	1832	4145	1085	2679	1948	12660
OR10A2	1	0	0	1	0	1
OR10A3	0	0	0	0	0	0
OR10A3_1	0	0	0	0	0	0
OR10A3_2	0	0	0	0	0	0
OR10A4	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0
OR10A6_1	0	0	0	0	0	0
OR10A6_2	0	0	0	0	0	0
OR10A7	0	0	0	0	0	0
OR10AC1	0	0	0	0	0	0
OR10AC1_1	0	0	0	0	0	0
OR10AD1	1	0	0	0	0	0
OR10AG1	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0
OR10C1_1	0	0	0	0	0	0
OR10C1_2	0	0	0	0	0	0
OR10C1_3	0	0	0	0	0	0
OR10C1_4	0	0	0	0	0	0
OR10C1_5	0	0	0	0	0	0
OR10C1_6	0	0	0	0	0	0
OR10C1_7	0	0	0	0	0	0
OR10D3	0	2	0	0	0	2
OR10G2	0	0	0	0	0	0
OR10G3	0	1	0	0	0	0
OR10G4	0	0	0	0	0	0
OR10G6	0	0	0	0	0	0
OR10G7	0	0	0	0	0	0
OR10G8	0	0	0	0	0	0
OR10G9	0	0	0	0	0	0
OR10H1	0	0	0	0	0	0
OR10H2	0	0	0	1	0	0
OR10H3	0	0	0	0	0	0
OR10H4	0	1	0	0	0	0
OR10H5	0	0	0	0	0	0
OR10J1	0	0	0	0	0	0
OR10J3	0	25	0	0	0	5
OR10J4	0	1	0	0	0	0
OR10J5	0	5	0	1	2	0
OR10K1	0	0	0	1	0	0
OR10K2	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR10R2	0	0	0	0	0	0
OR10S1	0	0	0	0	0	0
OR10T2	0	0	0	0	0	0
OR10V1	0	0	0	0	0	0
OR10V2P	0	0	0	0	0	1
OR10W1	0	0	1	0	0	0
OR10X1	0	0	0	0	0	0
OR10Z1	0	5	0	0	0	0
OR11A1	0	0	0	0	0	0
OR11A1_1	0	0	0	0	0	0
OR11A1_2	0	0	0	0	0	0
OR11A1_3	0	0	0	0	0	0
OR11A1_4	0	0	0	0	0	0
OR11A1_5	0	0	0	0	0	0
OR11A1_6	0	0	0	0	0	0
OR11A1_7	0	0	0	0	0	1
OR11G2	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0
OR11H12	0	0	0	0	0	0
OR11H2	5	1	7	4	1	3
OR11H4	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0
OR11H7	0	0	0	0	0	0
OR11L1	0	0	0	0	0	0
OR12D1	0	0	0	0	0	0
OR12D1_1	0	0	0	0	0	0
OR12D1_2	0	0	0	0	0	0
OR12D1_3	0	0	0	0	0	0
OR12D1_4	0	0	0	0	0	0
OR12D1_5	0	0	0	0	0	0
OR12D1_6	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0
OR12D2_1	0	0	0	0	0	0
OR12D2_2	0	0	0	0	0	0
OR12D2_3	0	0	0	0	0	0
OR12D2_4	0	0	0	0	0	0
OR12D2_5	0	0	0	0	0	1
OR12D3	0	0	0	0	0	0
OR12D3_1	0	0	0	0	0	0
OR12D3_2	0	0	0	0	0	0
OR12D3_3	0	0	0	0	0	0
OR12D3_4	0	0	0	0	0	0
OR12D3_5	0	0	0	0	0	0
OR13A1	0	0	0	0	0	0
OR13A1_1	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0
OR13C3	1	0	0	0	0	0
OR13C4	0	0	0	0	0	0
OR13C5	2	0	1	0	0	0
OR13C8	0	0	0	0	0	0
OR13C9	0	0	0	0	0	0
OR13D1	0	0	0	0	0	0
OR13F1	1	0	0	0	0	0
OR13G1	0	0	0	0	0	0
OR13H1	0	0	0	0	0	0
OR13J1	0	0	0	0	0	0
OR14A16	0	0	0	0	0	0
OR14A2	2	0	0	1	1	0
OR14C36	0	0	0	0	0	0
OR14I1	0	0	0	1	0	0
OR14J1	0	0	0	0	0	0
OR14J1_1	0	0	0	0	0	0
OR14J1_2	0	0	0	0	0	0
OR14J1_3	0	0	0	0	0	0
OR14J1_4	0	0	0	0	0	0
OR14J1_5	0	0	0	0	0	0
OR14J1_6	0	0	0	0	0	0
OR14K1	0	0	0	0	0	0
OR1A1	0	0	0	1	0	0
OR1A2	0	0	0	0	0	0
OR1B1	0	0	0	0	0	0
OR1C1	0	0	0	0	0	0
OR1D2	0	0	0	0	0	0
OR1D4	0	0	0	0	0	0
OR1D5	0	0	0	0	0	0
OR1E1	0	0	0	0	0	0
OR1E2	0	0	0	0	0	0
OR1E3	0	0	0	0	0	0
OR1F1	0	15	0	0	0	10
OR1F12	1	1	0	3	0	0
OR1F2P	0	1	0	0	0	0
OR1G1	0	0	0	0	0	0
OR1I1	0	0	0	0	0	0
OR1J1	0	1	0	1	0	0
OR1J2	0	19	4	10	0	2
OR1J4	0	0	0	0	0	0
OR1K1	0	0	0	0	0	0
OR1L1	0	0	0	0	0	0
OR1L3	0	0	0	0	0	0
OR1L4	0	0	0	0	0	0
OR1L6	0	0	1	0	0	0
OR1L8	3	0	1	0	0	1
OR1M1	0	0	0	0	0	0
OR1N1	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0
OR1Q1	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
OR2A1	0	1	0	0	0	0
OR2A1-AS1	0	0	0	0	0	0
OR2A1-AS1_1	0	0	0	7	0	1
OR2A12	0	0	0	0	0	0
OR2A12_1	0	0	0	0	0	0
OR2A14	0	0	0	0	0	0
OR2A14_1	0	0	0	0	0	0
OR2A1_1	0	0	0	0	0	0
OR2A2	0	0	0	0	0	0
OR2A20P	0	0	0	0	0	0
OR2A20P_1	0	0	0	0	0	0
